company_code,scope,company_name,ISIN,sector,2018,2019,2020,2021
ALLEGRO,S1,Allegro,LU2237380790,Handel internetowy,,320.75,250.58,526.7
ALLEGRO,S1+S2,Allegro,LU2237380790,Handel internetowy,,7772.76,9192.11,11124.72
ALLEGRO,S2,Allegro,LU2237380790,Handel internetowy,,7452.01,8941.53,10598.02
ALLEGRO,S3,Allegro,LU2237380790,Handel internetowy,,,126201.76,206039.04
CCC,S1,CCC,PLCCC0000016,Odzież i obuwie,,4295.1,4259.0,5237.1
CCC,S1+S2,CCC,PLCCC0000016,Odzież i obuwie,,66288.8,47454.0,56962.5
CCC,S2,CCC,PLCCC0000016,Odzież i obuwie,,61993.7,43195.0,51725.4
CCC,S3,CCC,PLCCC0000016,Odzież i obuwie,,,,116611.0
CIECH,S1,Ciech,PLCIECH00018,Chemia podstawowa,,2920571.0,2640465.0,2678069.0
CIECH,S1+S2,Ciech,PLCIECH00018,Chemia podstawowa,,3453603.0,2783159.0,2819053.0
CIECH,S2,Ciech,PLCIECH00018,Chemia podstawowa,,533032.0,142694.0,140984.0
HANDLOWY,S1,CitiBank Handlowy,PLBH00000012,Banki komercyjne,,1937.0,1119.0,654.0
HANDLOWY,S1+S2,CitiBank Handlowy,PLBH00000012,Banki komercyjne,,18274.0,14801.0,7758.0
HANDLOWY,S2,CitiBank Handlowy,PLBH00000012,Banki komercyjne,,16337.0,13682.0,7104.0
HANDLOWY,S3,CitiBank Handlowy,PLBH00000012,Banki komercyjne,,,2895.0,4072.0
ENEA,S1,Enea,PLENEA000013,Energetyka,,22039576.0,18671299.0,22415951.0
ENEA,S1+S2,Enea,PLENEA000013,Energetyka,,22039576.0,18671299.0,22708361.0
ENEA,S2,Enea,PLENEA000013,Energetyka,,,,292410.0
EUROCASH,S1,Eurocash,PLEURCH00011,Artykuły codziennego użytku,,21779.71,37825.8,39540.76
EUROCASH,S1+S2,Eurocash,PLEURCH00011,Artykuły codziennego użytku,,152358.97,144287.45,142429.32
EUROCASH,S2,Eurocash,PLEURCH00011,Artykuły codziennego użytku,,130579.26,106461.65,102888.56
GPW,S1,GPW,PLGPW0000017,Giełdy i biura maklerskie,,,,97.71
GPW,S1+S2,GPW,PLGPW0000017,Giełdy i biura maklerskie,,,,3480.47
GPW,S2,GPW,PLGPW0000017,Giełdy i biura maklerskie,,,,3382.76
FAMUR,S1,Grenevia/Famur,PLFAMUR00012,Urządzenia mechaniczne,,,,1451998.0
FAMUR,S1+S2,Grenevia/Famur,PLFAMUR00012,Urządzenia mechaniczne,,,,1466234.0
FAMUR,S2,Grenevia/Famur,PLFAMUR00012,Urządzenia mechaniczne,,,,14236.0
GRUPAAZOTY,S1,Grupa Azoty,PLZATRM00012,Chemia podstawowa,,6989700.0,7396000.0,7491000.0
GRUPAAZOTY,S1+S2,Grupa Azoty,PLZATRM00012,Chemia podstawowa,,6989700.0,9432000.0,9328000.0
GRUPAAZOTY,S2,Grupa Azoty,PLZATRM00012,Chemia podstawowa,,,2036000.0,1837000.0
KETY,S1,Grupa Kęty,PLKETY000011,Hutnictwo metali nieżelaznych,,,35744.0,38794.0
KETY,S1+S2,Grupa Kęty,PLKETY000011,Hutnictwo metali nieżelaznych,,,167507.0,177718.0
KETY,S2,Grupa Kęty,PLKETY000011,Hutnictwo metali nieżelaznych,,,131763.0,138924.0
INGBSK,S1,ING,PLBSK0000017,Banki komercyjne,,5271.3,3472.4,3283.1
INGBSK,S1+S2,ING,PLBSK0000017,Banki komercyjne,,11296.3,8416.4,8089.5
INGBSK,S2,ING,PLBSK0000017,Banki komercyjne,,6025.0,4944.0,4806.4
INGBSK,S3,ING,PLBSK0000017,Banki komercyjne,,746.7,171.7,153.9
JSW,S1,JSW,PLJSW0000015,Górnictwo węgla,7170000.0,6700000.0,6470000.0,7160000.0
JSW,S1+S2,JSW,PLJSW0000015,Górnictwo węgla,8220000.0,7920000.0,7180000.0,7920000.0
JSW,S2,JSW,PLJSW0000015,Górnictwo węgla,1050000.0,1220000.0,710000.0,760000.0
KGHM,S1,KGHM,PLKGHM000017,Górnictwo metali,,1714122.0,2479173.0,2548312.0
