year,Allegro,BNP Paribas,Bank Ochrony Środowiska,CCC,Ciech,CitiBank Handlowy,Enea,Eurocash,GPW,Grenevia/Famur,Grupa Kęty,ING,JSW,KGHM,Millenium Bank,Orange,PGE,PKN Orlen,PKO BP,PZU,Pekao,Santander,Tauron,Wirtualna Polska,mBank
2015,,,,,,,,,,,,,,,,505000.0,,,,,,,,,
2016,,,,,,,,,,,21123.0,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,8220000.0,,,,,,,,,,18441041.57,,
2019,,18984.0,,,3453603.0,18274.0,,,,,,11296.3,,,,,,,113511.0,,,,,,
2020,,,3054.78,,,,18671299.01,144287.45,,,,,,4641293.05,26777.0,,72504413.0,18974952.0,,132337.0,,9708.22,,,9371.42
2021,11124.72,,,56962.5,,,,,,1466234.0,,,,,,,,,,,72257.4,,,849.4,
2022,,,,,,,,,3480.47,,,,,,,,,,,,,,,,
2024,,,,,,9137.0,,,,,,,,,,,,,,6616.85,,,,,
2025,,8542.8,,34177.5,,,,,1740.24,,17954.55,,,,,176750.0,,,45404.4,,,,,254.82,
2026,,,,,2313914.01,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,1338.85,,,,,,,,,,
2030,6897.33,,152.74,11392.5,,,,83686.72,174.02,879740.4,,564.81,5754000.0,3759447.37,,,,14041464.48,,,3612.87,,9036110.37,42.47,468.57
2040,,,,,172680.15,,,,,,,,,,,25250.0,,,,,,,,,
2050,,,,,,,933564.95,,,,,,,232064.65,,,3625220.65,948747.6,,,,485.41,922052.08,,
