year,Allegro,BNP Paribas,Bank Ochrony Środowiska,CCC,Ciech,CitiBank Handlowy,Eurocash,GPW,Grenevia/Famur,ING,JSW,KGHM,Millenium Bank,Orange,PGE,PKN Orlen,PKO BP,PZU,Pekao,Santander,Tauron,Wirtualna Polska,mBank
2015,,,,,,,,,,,,,,1.0,,,,,,,,,
2018,,,,,,,,,,,1.0,,,,,,,,,,1.0,,
2019,,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,
2020,,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0
2021,1.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,
2022,,,,,,,,1.0,,,,,,,,,,,,,,,
2024,,,,,,0.5,,,,,,,,,,,,0.05,,,,,
2025,,0.45,,0.6,,,,0.5,,,,,,0.35,,,0.4,,,,,0.3,
2026,,,,,0.67,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,0.05,,,,,,,,,,
2030,0.62,,0.05,0.2,,,0.58,0.05,0.6,0.05,0.7,0.7,,,,0.8,,,0.05,,0.49,0.05,0.05
2040,,,,,0.05,,,,,,,,,0.05,,,,,,,,,
2050,,,,,,,,,,,,0.05,0.05,,0.05,0.05,,0.05,,0.05,,,0.05
