Company,S1+S2 Short,S1+S2 Mid,S1+S2 Long,S3 Short,S3 Mid,S3 Long,S1+S2+S3 Short,S1+S2+S3 Mid,S1+S2+S3 Long
Allegro,3.2,1.38,3.2,3.2,3.2,3.2,3.2,2.29,3.2
Bank Ochrony Środowiska,3.2,0.0,3.2,3.2,0.0,3.2,3.2,0.0,3.2
BNP Paribas,0.62,3.2,3.2,0.62,3.2,3.2,0.62,3.2,3.2
CCC,3.2,0.43,3.2,3.2,1.31,3.2,3.2,0.87,3.2
Ciech,1.57,3.2,3.2,3.2,3.2,3.2,2.39,3.2,3.2
CitiBank Handlowy,0.45,3.2,3.2,3.2,3.2,3.2,1.82,3.2,3.2
Enea,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
Eurocash,3.2,1.39,3.2,3.2,3.2,3.2,3.2,2.29,3.2
GPW,0.0,3.2,3.2,3.2,3.2,3.2,1.6,3.2,3.2
Grupa Azoty,3.2,1.52,3.2,3.2,3.2,3.2,3.2,2.36,3.2
Grupa Kęty,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
ING,3.2,0.0,3.2,3.2,3.2,3.2,3.2,1.6,3.2
JSW,3.2,1.92,3.2,3.2,3.2,3.2,3.2,2.56,3.2
KGHM,3.2,1.76,3.2,3.2,3.2,3.2,3.2,2.48,3.2
mBank,3.2,0.0,3.2,3.2,3.2,3.2,3.2,1.6,3.2
Orange,1.19,3.2,1.58,3.2,3.2,1.58,2.2,3.2,1.58
Pekao,3.2,0.0,3.2,3.2,3.2,3.2,3.2,1.6,3.2
PGE,3.2,3.2,1.32,3.2,3.2,3.2,3.2,3.2,2.26
PKN Orlen,3.2,3.2,1.31,3.2,3.2,3.2,3.2,3.2,2.26
PKO BP,0.45,3.2,3.2,3.2,3.2,3.2,1.82,3.2,3.2
PZU,0.0,3.2,3.2,3.2,3.2,3.2,1.6,3.2,3.2
Santander,3.2,3.2,1.31,3.2,3.2,1.31,3.2,3.2,1.31
Tauron,3.2,1.29,3.2,3.2,3.2,3.2,3.2,2.25,3.2
Wirtualna Polska,0.0,3.2,3.2,3.2,3.2,3.2,1.6,3.2,3.2
