Company,S1+S2 Short,S1+S2 Mid,S1+S2 Long,S3 Short,S3 Mid,S3 Long,S1+S2+S3 Short,S1+S2+S3 Mid,S1+S2+S3 Long
Allegro,3.2,1.38,3.2,3.2,3.2,3.2,3.2,3.1,3.2
Bank Ochrony Środowiska,3.2,0.0,3.2,3.2,0.0,3.2,3.2,0.0,3.2
BNP Paribas,0.62,3.2,3.2,2.18,3.2,3.2,2.17,3.2,3.2
CCC,0.45,0.0,3.2,2.22,1.56,3.2,1.65,1.06,3.2
Ciech,1.57,3.2,0.65,3.2,3.2,3.2,2.64,3.2,2.32
CitiBank Handlowy,0.45,3.2,3.2,3.2,3.2,3.2,3.17,3.2,3.2
Enea,3.2,3.2,1.32,3.2,3.2,3.2,3.2,3.2,2.45
Eurocash,3.2,1.39,3.2,3.2,3.2,3.2,3.2,3.04,3.2
GPW,0.0,0.0,3.2,3.2,3.2,3.2,2.17,2.17,3.2
Grenevia/Famur,3.2,1.31,3.2,3.2,3.2,3.2,3.2,3.13,3.2
Grupa Azoty,3.2,1.52,3.2,3.2,3.2,3.2,3.2,2.62,3.2
Grupa Kęty,3.08,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
ING,3.2,0.0,3.2,3.2,3.2,3.2,3.2,3.17,3.2
JSW,3.2,1.92,3.2,3.2,3.2,3.2,3.2,2.85,3.2
KGHM,3.2,1.76,1.31,3.2,3.2,3.2,3.2,2.81,2.69
mBank,3.2,0.0,1.31,3.2,3.2,1.31,3.2,3.17,1.31
Millenium Bank,0.0,3.2,1.31,3.2,3.2,1.31,3.17,3.2,1.31
Orange,1.19,3.2,1.0,3.2,3.2,1.0,2.55,3.2,1.0
Pekao,3.2,0.0,3.2,3.2,3.2,3.2,3.2,3.17,3.2
PGE,3.2,3.2,1.32,3.2,3.2,3.2,3.2,3.2,2.45
PKN Orlen,3.2,2.38,1.31,3.2,3.2,3.2,3.2,3.04,2.84
PKO BP,0.45,3.2,3.2,3.2,3.2,3.2,3.17,3.2,3.2
PZU,0.0,3.2,1.31,3.2,3.2,1.31,3.17,3.2,1.31
Santander,3.2,3.2,1.31,3.2,3.2,1.31,3.2,3.2,1.31
Tauron,3.2,1.29,3.2,3.2,3.2,3.2,3.2,2.44,3.2
Wirtualna Polska,0.0,0.0,3.2,3.2,3.2,3.2,2.17,2.17,3.2
WATS,2.15,1.85,2.44,3.12,3.01,2.82,2.97,2.81,2.7
AOTS,3.03,2.36,2.13,3.2,3.2,3.19,3.18,3.07,3.04
ROTS,3.2,1.53,3.18,3.2,3.2,3.03,3.2,2.67,3.08
